+-----+--------------------------------------------------+--------------------------------+---------------------------+
|     | Parameter                                        | DG2AVCVDEncIPPPTU2-TQoff.par   | 0_EncodeSequence_IP.par   |
| 103 | EnableSkipBiasAdjustment                         | n/a                            | 1                         |
| 104 | HierarchicalMEFlag                               | n/a                            | 3                         |
| 105 | SkipChromaCBPDetection                           | n/a                            | 1                         |
| 106 | IdrInterval                                      | n/a                            | 0                         |
| 107 | EncodeFrameSizeTolerance                         | n/a                            | 0                         |
| 108 | ForceIntraDC                                     | n/a                            | 0                         |
| 109 | HMESubPelMode                                    | n/a                            | 3                         |
| 110 | IntraDirectionBias                               | n/a                            | 1                         |
| 111 | CostingFeature                                   | n/a                            | 3                         |
| 112 | CostingType                                      | n/a                            | 1                         |
| 113 | ModeCosting                                      | n/a                            | 1                         |
| 114 | HighQPMvCostEnable                               | n/a                            | 1                         |
| 115 | HighQPHMECostEnable                              | n/a                            | 1                         |
| 116 | RefIDCostMode                                    | n/a                            | 0                         |
| 117 | NumSuperSlices                                   | n/a                            | 1                         |
| 118 | SuperSliceHeight                                 | n/a                            | 18                        |
| 119 | FrameRateM                                       | n/a                            | 30                        |
| 120 | FrameRateD                                       | n/a                            | 1                         |
| 121 | ConstrainedIntraPred                             | n/a                            | 0                         |
| 122 | MBFlatnessThreshold                              | n/a                            | 0                         |
| 123 | MBBRCEnable                                      | n/a                            | 0                         |
| 124 | MBRC                                             | n/a                            | 0                         |
| 125 | AdaptiveHMEExtension                             | n/a                            | 0                         |
| 126 | BlockBasedSkip                                   | n/a                            | 0                         |
| 127 | VDEncPerfMode                                    | n/a                            | 0                         |
| 128 | MBSizeEstScalingRatioINTRA                       | n/a                            | 0                         |
| 129 | IntraMBHdrScaleFactor                            | n/a                            | 0                         |
| 130 | MBSizeEstScalingRatioINTER                       | n/a                            | 0                         |
| 131 | InterMBHdrScaleFactor                            | n/a                            | 0                         |
| 132 | Intra4x4ModeMask                                 | n/a                            | 0                         |
| 133 | Intra8x8ModeMask                                 | n/a                            | 0                         |
| 134 | Intra16x16ModeMask                               | n/a                            | 0                         |
| 135 | InitMBBudgetTr4x4                                | n/a                            | 0                         |
| 136 | ForceIPCMMinQP                                   | n/a                            | 0                         |
| 137 | IntraTr4x4Percent                                | n/a                            | 0                         |
| 138 | EnableAdaptiveTrellisQuantization                | n/a                            | 0                         |
| 139 | VDEncMode                                        | n/a                            | 1                         |
| 140 | EnableNewCost                                    | n/a                            | 1                         |
| 141 | EnableWeightPredictionDetection                  | n/a                            | 0                         |
| 142 | UseOrigAsRef                                     | n/a                            | 0                         |
| 143 | BiSubMbPartMask                                  | n/a                            | 0                         |
| 144 | HME0XOffset                                      | n/a                            | 0                         |
| 145 | HME0YOffset                                      | n/a                            | 0                         |
| 146 | HME1XOffset                                      | n/a                            | 0                         |
| 147 | HME1YOffset                                      | n/a                            | 0                         |
| 148 | SuperHME                                         | n/a                            | 0                         |
| 149 | UltraHME                                         | n/a                            | 0                         |
| 150 | SuperCombineDist                                 | n/a                            | 0                         |
| 151 | StreamInEnable                                   | n/a                            | 0                         |
| 152 | StreamInL0FromNewRef                             | n/a                            | 0                         |
| 153 | StreamInL1FromNewRef                             | n/a                            | 0                         |
| 154 | MEMethod                                         | n/a                            | 0                         |
| 155 | FTQBasedSkip                                     | n/a                            | 0                         |
| 156 | BiMixDisable                                     | n/a                            | 0                         |
| 157 | SurvivedSkipCost                                 | n/a                            | 0                         |
| 158 | UniMixDisable                                    | n/a                            | 0                         |
| 159 | EnableIntraCostScalingForStaticFrame             | n/a                            | 0                         |
| 160 | VdencExtPakObjDisable                            | n/a                            | 0                         |
| 161 | PPMVDisable                                      | n/a                            | 0                         |
| 162 | AdaptiveMvStreamIn                               | n/a                            | 0                         |
| 163 | LargeMvThresh                                    | n/a                            | 0                         |
| 164 | LargeMvPctThreshold                              | n/a                            | 0                         |
| 165 | DisPSubMbMask                                    | n/a                            | 0                         |
| 166 | Transform8x8PDisable                             | n/a                            | 0                         |
+-----+--------------------------------------------------+--------------------------------+---------------------------+
